,,,,,,,,,,,,,,,,
,,"Toyota Avanza 2022
1.3 J M/T","833,000",MPV,Manual,"The entry-level Avanza variant focuses on essential mobility. Its straightforward features, 5-speed manual, and durable build make it a reliable choice for budget-conscious drivers or fleet operations.",1.3 L,"99 @ 6,000 rpm",Gasoline,7,15-inch Alloy,Front-Wheel Drive,122 Nm,"No. of Airbags: 2
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Manual (Digital COntrol)Entertainment System: 6.75-inch Audio Display with 2 speakersPower Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,"Toyota Avanza 2022
1.5 G CVT","1,059,000",MPV,Automatic,"The top-tier Avanza 1.5 G CVT offers enhanced power and features, making daily drives more enjoyable. With stylish exterior trims, larger alloy wheels, and improved tech, it suits growing families looking for a practical yet refined MPV.
",1.5 L,"106 hp @ 6,000 rpm",Gasoline,7,16-inch Alloy,Front-Wheel Drive,136 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Manual (Digital COntrol)Entertainment System: 8-inch Audio Display with 4 speakersPower Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 3,CAMRY,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota Camry Hybrid 2.5 HEV,"₱2,657,000",Sedan,Automatic,"The Toyota Camry Hybrid 2.5 HEV blends dynamic performance with green technology. Powered by a 2.5L hybrid system, it delivers a total of 248 hp while maintaining impressive fuel economy. This premium sedan features luxurious interiors, advanced driver-assist features, and a smooth ride, making it perfect for professionals and eco-conscious drivers alike.

",2.5 L,248 hp (Total System Output),Hybrid,5,19-inch Alloy,Front-Wheel Drive,233 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: Dual Zone Auto-climate Entertainment System: 12.3-inch touchscreen with 9 JBL speakers Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,Toyota Camry Hybrid 2.5 HEV White Pearl Mica,"₱2,677,000",Sedan,Automatic,"Experience refined elegance and efficiency with the Toyota Camry Hybrid 2.5 HEV in White Pearl Mica. This premium sedan combines a 2.5L gasoline engine with an electric motor, delivering a smooth and responsive drive. The White Pearl Mica finish accentuates its sophisticated design, making it a standout choice for those seeking luxury and eco-friendly performance.",2.5 L,176 hp (gasoline engine),Hybrid,5,18-inch Alloy ,Front-Wheel Drive,221 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: Dual Zone Auto-climate Entertainment System: 12.3-inch touchscreen with 9 JBL speakers Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 4,COASTER,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota Coaster 29-Seater ,"₱4,114,000",bus,Manual,"The Toyota Coaster is a dependable people mover designed for group transport. With a powerful diesel engine and seating for 29 passengers, it’s ideal for schools, tourism, and company shuttles. Its spacious cabin, air-conditioning, and ergonomic layout ensure comfortable travel over long distances.",4.0 L,136 hp ,Diesel,29,17.5-inch Steel,"Rear-Wheel Drive
",390 Nm,"No. of Airbags: 1
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Manual Air Conditioning System Entertainment System: 2DIN Audio System Steering: FALSE
Power Windows: TRUEKeyless Entry: FALSE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 5,YARIS,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota GR Yaris 1.6 Turbo MT,"₱3,391,000",Hatchback,Manual,"Born from WRC (World Rally Championship) heritage, the Toyota GR Yaris is a high-performance hot hatch built for thrill seekers. It packs a 1.6L turbocharged engine producing 257 hp, paired with a 6-speed manual and GR-Four AWD system. Lightweight, aggressive, and agile, it’s made for pure driving excitement—on track or on twisty roads.
",1.6 L,257 hp ,Gasoline,4,18-inch BBS Forged Alloy,All-Wheel Drive,360 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: Dual-Zone Automatic air conditioning Entertainment System: 6.9-inch infotainment system with a 6-speaker audio system Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: TRUE
Start-stop System: FALSE"
,,Toyota GR Yaris 1.6 Turbo MT (Emotional Red),"₱3,411,000",Hatchback,Manual,"Unleash your passion for driving with the Toyota GR Yaris 1.6 Turbo MT in Emotional Red. Born from Toyota's WRC expertise, this hot hatch boasts a powerful 1.6L turbocharged engine and a rally-inspired GR-Four AWD system. The striking Emotional Red color underscores its sporty character, making it a perfect choice for enthusiasts seeking performance and style.",1.6 L,"280 hp @ 6,500 rpm",Gasoline,4,18-inch BBS Forged Alloy,All-Wheel Drive,390 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: Dual-Zone Automatic air conditioning Entertainment System: 6.9-inch infotainment system with a 6-speaker audio system Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: TRUE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 6,COROLLA,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota Corolla Altis 1.8 E CVT ,"₱1,213,000",Sedan,Automatic,"The Corolla Altis 1.8 E CVT offers a balance of efficiency and comfort, making it an ideal choice for daily commuting with its reliable performance and spacious interior.",1.8 L, 138 hp,Gasoline,5,16-inch Alloy,Front-Wheel Drive,153 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Manual Cooler  Entertainment System: 8-inch Display Audio Steering: FALSE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,Toyota Corolla Altis 1.8 G GR-S CVT,"₱1,333,000",Sedan,Automatic,"Sporting the GR-S badge, this variant adds a sporty flair to the Corolla Altis lineup, featuring enhanced styling and dynamic performance for those seeking a more spirited drive.",1.8 L,140 hp,Gasoline,5,17-inch GR-S Design Alloy,Front-Wheel Drive,172 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Single-Zone Automatic Climate Control Entertainment System: 8-inch Display Audio with 6 speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,Toyota Corolla Altis 1.8 GR-S Hybrid CVT,"₱1,761,000",Sedan,Automatic,"Combining hybrid efficiency with GR-S styling, this variant offers eco-friendly performance without compromising on aesthetics or driving enjoyment.",1.8 L,98 hp,Hybrid,5,17-inch GR-S Design Alloy,Front-Wheel Drive,142 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Dual-zone Automatic Climate Control Entertainment System:9"" Display Audio with 6 speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 7,FORTUNER,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota Fortuner 2.4 G Diesel 4x2 AT,"₱1,867,000",SUV,Automatic,"The Fortuner 2.4 G Diesel 4x2 AT offers robust performance and spacious seating, making it suitable for families and long-distance travel.",2.4 L,148 hp,"
Diesel",7,17-inch Alloy,Rear Wheel Drive,,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: Manual Air-Conditioning Entertainment System: 7-inch display audio with 6-Speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,Toyota Fortuner 2.4 G Diesel 4x2 MT,"₱1,775,000",SUV,Manual,"This manual transmission variant provides drivers with greater control, catering to those who prefer a more engaged driving experience.",2.4 L,340 hp,"
Diesel",7,19-inch Alloy,Rear Wheel Drive,,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: Manual Air-Conditioning Entertainment System: 7-inch display audio with 6-Speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 8,SUPRA,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota GR Supra 3.0 Turbo Inline-6 AT (Black Metallic 2),"₱5,612,000",Coupe,Automatic,"The GR Supra delivers exhilarating performance with its turbocharged inline-6 engine, offering a thrilling driving experience wrapped in a sleek, aerodynamic design.
",3.0 L,340 hp,Gasoline,2,"19-inch Alloy
",Rear Wheel Drive,500 Nm,"No. of Airbags: 1
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Dual-Zone Automatic Climate Control Entertainment System: 8.8-inch touchscreen infotainment via 12-Speaker JBL Sound System Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: TRUE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 9,GR86,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota GR86 2.4 AT,"₱2,856,000",Coupe,Automatic,"The GR86 2.4 AT combines performance and convenience, featuring an automatic transmission for smooth gear shifts while retaining the sporty characteristics of a rear-wheel-drive coupe.",2.4 L,"237 hp @ 7,000 rpm",Gasoline,2+2,18-inch Alloy,Rear Wheel Drive,,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: Dual-Zone Automatic Climate Control Entertainment System: 8-inch Audio Display Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,Toyota GR86 2.4 MT,"₱2,716,000",Coupe,Manual,"For purists, the GR86 2.4 MT offers a traditional manual transmission, providing an engaging driving experience with precise control and feedback.
",2.4 L,"238 hp @ 7,000 rpm",Gasoline,2+2,17-inch Alloy,Rear Wheel Drive,,"No. of Airbags: 6
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Dual-Zone Automatic Climate Control Entertainment System: 8-inch Audio Display

 Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 10,HIACE,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,1,Toyota Hiace 2.8 Commuter Deluxe MT,"₱1,857,000",Van,Manual,"The Hiace Commuter Deluxe is designed for efficient passenger transport, offering ample seating and reliable performance for commercial use.
",2.8 L,174 hp,Gasoline,15,15-inch Steel,Rear Wheel Drive,420 Nm,"No. of Airbags: 4
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Dual with Front Manual Controls Entertainment System:8"" Display Audio with 4 Speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: FALSE","Hill Start Assist: TRUE
Tire Pressure Monitoring: TRUE
Start-stop System: FALSE"
,2,Toyota Hiace 2.8 GL Grandia AT,"₱2,366,000",Van,Automatic,"The GL Grandia offers enhanced comfort and features, making it suitable for executive transport and family use.",2.8 L,174 hp,Diesel,12,16-inch Alloy,Rear Wheel Drive,450 Nm,"No. of Airbags: 2
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Dual with Front Manual Controls Entertainment System:8"" Display Audio with 6 Speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: FALSE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,3,Toyota Hiace 3.0 Ambulance,"₱1,516,000",Van,Manual,"Configured for emergency medical services, the Hiace Ambulance provides essential features for patient transport.",3.0 L,134  hp,Diesel,3,15-inch Alloy,Rear Wheel Drive,300 Nm ,"No. of Airbags: 2
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Dual, Manual Control Entertainment System:2-DIN with 2 Speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: FALSE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,4,Toyota Hiace 3.0 Cargo,"₱1,195,000",Van,Manual,"The Hiace Cargo variant is optimized for goods transport, offering ample cargo space and reliable performance.",3.0 L,134 hp,Diesel,3,15-inch Steel,Rear Wheel Drive,300 Nm ,"No. of Airbags: 2
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Dual, Manual Controls Entertainment System:2-DIN with 2 Speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: FALSE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 11,HILUX,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,1,Toyota Hilux 2.4 Cab & Chassis 4x2 MT,"₱891,000",Pickup,Manual,"This variant serves as a versatile platform for various commercial applications, allowing custom body installations.",2.4 L,148 hp ,Diesel,3,"15-inch Steel
",Rear Wheel Drive,343 Nm,"No. of Airbags: 2
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Manual Entertainment System:2-DIN with 2 speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: FALSE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,2,Toyota Hilux 2.4 Cargo 4x2 MT,"₱1,007,000",Pickup,manual,"Designed for cargo transport, this Hilux variant offers durability and efficiency for business needs.",2.4 L,148 hp,Diesel,3,"15-inch Steel
",Rear Wheel Drive,343 Nm,"No. of Airbags: 2
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Manual Air Conditioner Entertainment System:2-DIN with 2 speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: FALSE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,3,Toyota Hilux 2.4 E DSL 4x2 AT,"₱1,398,000",Pickup,Automatic,"Balancing utility and comfort, this variant is suitable for both work and personal use.",2.4 L,148 hp ,Diesel,5,17-inch Alloy,Rear Wheel Drive,343 Nm,"No. of Airbags: 2
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Dual Zone Automatic Climate Control Entertainment System:8"" Display Audio with 6 speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,4,Toyota Hilux 2.8 GR Sport AT,"₱2,164,000",Pickup,Automatic,The GR Sport variant adds sporty styling and enhanced features to the robust Hilux platform.,2.4 L,201 hp,Diesel,5,18-inch Alloy,Four-Wheel Drive,500 Nm,"No. of Airbags: 6
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Dual Automatic Climate Control Entertainment System:9-inch Touchscreen with 6 speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,5,Toyota Hilux Conquest 2.4 DSL,"₱1,681,000",Pickup,Automatic,The Conquest variant offers aggressive styling and additional features for a more commanding presence.,2.4 L,148 hp,Diesel,5,18-inch Alloy,Rear Wheel Drive,343 Nm,"No. of Airbags: 2
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Automatic Climate Control Entertainment System:9-inch Touchscreen with 6 speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 12,INNOVA,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,1,Toyota Innova 2.8 E Diesel AT,"₱1,535,000",MPV,Automatic,"The Innova E Diesel AT combines versatility and comfort, making it ideal for families and business use.",2..8 L,171 hp ,Diesel,8,16-inch Alloy,Rear Wheel Drive,360 Nm ,"No. of Airbags: 2
Isofix:TRUE
Auto Brake System : FALSE","Air Conditioning System:Manual Climate Control Entertainment System:7-inch Infotainment system with 6 Speakers Steering: TRUE
Power Windows: TRUE Keyless Entry: FALSE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 13,LAND CRUISER,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota Land Cruiser ZX AT,"₱5,758,000",SUV,Automatic,"The Land Cruiser ZX offers luxury and off-road capability, suitable for various terrains and long journeys.",3.3 L,304 hp,Diesel,7,20-inch Alloy,Four-Wheel Drive,,"No. of Airbags: 7
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: 4-zone Automatic Climate Control Entertainment System: 12.3-inch Display Audio
 Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: TRUE
Start-stop System: FALSE"
,,Toyota Land Cruiser ZX AT (Precious White Pearl),"₱5,773,000",SUV,Automatic,"This variant features a premium Precious White Pearl finish, adding elegance to its robust capabilities.",3.3 L,304 hp,Diesel,7,20-inch Alloy,Four-Wheel Drive,,"No. of Airbags: 7
Isofix: TRUE
Auto Brake System : TRUE","Air Conditioning System: 4-zone Automatic Climate Control Entertainment System: 12.3-inch Display Audio Steering: TRUE
Power Windows: TRUE Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: TRUE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 14,LITE ACE,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,Toyota Lite Ace 1.5 Cargo Aluminum Van MT,"₱705,000",Van,Manual,"The Toyota Lite Ace 1.5 Cargo Aluminum Van MT is designed for businesses requiring efficient cargo transport. With its compact dimensions and reliable performance, it's ideal for navigating urban environments while carrying substantial loads.
",1.5 L,94 hp,Gasoline,2,14-inch Steel,Rear Wheel Drive,134 Nm,"No. of Airbags: 2
Isofix: FALSE
Auto Brake System : FALSE","Air Conditioning System: Manual Air-Conditioning Entertainment System:2DIN with 2 speakers Steering: TRUE
Power Windows: FALSE Keyless Entry: FALSE","Hill Start Assist: FALSE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 15,VIOS,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
